<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20190701;0;210.4;6160390
SBERP;D;20190702;0;207.52;3176330
SBERP;D;20190703;0;208;3083790
SBERP;D;20190704;0;208.82;2868980
SBERP;D;20190705;0;208;2933920
SBERP;D;20190708;0;208.3;2099160
SBERP;D;20190709;0;208.23;2363170
SBERP;D;20190710;0;209.4;4406100
SBERP;D;20190711;0;207.54;5334930
SBERP;D;20190712;0;205.65;4318760
SBERP;D;20190715;0;205.01;3612360
SBERP;D;20190716;0;204.09;3744050
SBERP;D;20190717;0;204.24;2768630
SBERP;D;20190718;0;204.05;2784670
SBERP;D;20190719;0;203.9;2895670
SBERP;D;20190722;0;202.7;4134940
SBERP;D;20190723;0;202.56;3342020
SBERP;D;20190724;0;200.96;3819720
SBERP;D;20190725;0;203.46;3192260
SBERP;D;20190726;0;202.29;2414310
SBERP;D;20190729;0;203.9;1662900
SBERP;D;20190730;0;204.8;2967570
SBERP;D;20190731;0;202.9;3450030
SBERP;D;20190801;0;199.7;6214280
SBERP;D;20190802;0;194.56;9065750
SBERP;D;20190805;0;194.2;5919650
SBERP;D;20190806;0;197.23;4580120
SBERP;D;20190807;0;195.2;4133930
SBERP;D;20190808;0;196.9;2730710
SBERP;D;20190809;0;194.83;2358990
SBERP;D;20190812;0;195.33;2637120
SBERP;D;20190813;0;195.2;5591520
SBERP;D;20190814;0;191.26;3976600
SBERP;D;20190815;0;188.71;6111440
SBERP;D;20190816;0;188;5826260
SBERP;D;20190819;0;190.29;4280320
SBERP;D;20190820;0;189.66;4407260
SBERP;D;20190821;0;190.5;6057840
SBERP;D;20190822;0;192.57;3722990
SBERP;D;20190823;0;191.1;3245560
SBERP;D;20190826;0;191.14;3543890
SBERP;D;20190827;0;191;3639000
SBERP;D;20190828;0;192.46;2181210
SBERP;D;20190829;0;193.6;3128820
SBERP;D;20190830;0;194.89;6988240
SBERP;D;20190902;0;197.53;3488750
SBERP;D;20190903;0;196.49;4674190
SBERP;D;20190904;0;198;3589380
SBERP;D;20190905;0;200.5;4329060
SBERP;D;20190906;0;201;3857080
SBERP;D;20190909;0;199.89;2734970
SBERP;D;20190910;0;203.55;6135460
SBERP;D;20190911;0;206.8;8374960
SBERP;D;20190912;0;206.2;6116980
SBERP;D;20190913;0;205.61;2722720
SBERP;D;20190916;0;207.1;3093820
SBERP;D;20190917;0;206.6;2666160
SBERP;D;20190918;0;206.81;2164130
SBERP;D;20190919;0;207.05;2978690
SBERP;D;20190920;0;206.42;2828840
SBERP;D;20190923;0;203.44;3412120
SBERP;D;20190924;0;202.43;4118000
SBERP;D;20190925;0;203;3661580
SBERP;D;20190926;0;202.9;2629070
SBERP;D;20190927;0;201.25;2727440
SBERP;D;20190930;0;201;2890500
SBERP;D;20191001;0;201.44;2110680
SBERP;D;20191002;0;197.62;4442880
SBERP;D;20191003;0;199.26;3295180
SBERP;D;20191004;0;198.31;2834980
SBERP;D;20191007;0;200.35;3798430
SBERP;D;20191008;0;198.79;3306740
SBERP;D;20191009;0;200.46;2360010
SBERP;D;20191010;0;201.22;2781170
SBERP;D;20191011;0;202.75;2784070
SBERP;D;20191014;0;201.5;2610150
SBERP;D;20191015;0;201.7;3090730
SBERP;D;20191016;0;203.29;2810070
SBERP;D;20191017;0;205.05;4702760
SBERP;D;20191018;0;208;6130690
SBERP;D;20191021;0;207.66;3997120
SBERP;D;20191022;0;212.14;8973610
SBERP;D;20191023;0;213.55;7292280
SBERP;D;20191024;0;217;8156020
SBERP;D;20191025;0;215;5470150
SBERP;D;20191028;0;213.3;3769420
SBERP;D;20191029;0;215.41;3637260
SBERP;D;20191030;0;215.4;3494110
SBERP;D;20191031;0;212.55;5107160
SBERP;D;20191101;0;214.38;4687770
SBERP;D;20191105;0;216.57;4896160
SBERP;D;20191106;0;217;4257120
SBERP;D;20191107;0;218.33;6516650
SBERP;D;20191108;0;217.5;3524330
SBERP;D;20191111;0;217.75;2497310
SBERP;D;20191112;0;217.53;4381390
SBERP;D;20191113;0;215.04;4541400
SBERP;D;20191114;0;215.79;2860110
SBERP;D;20191115;0;216.4;3727600
SBERP;D;20191118;0;215.55;3262630
SBERP;D;20191119;0;215.15;3111450
SBERP;D;20191120;0;215;2751890
